rp,victims_present,affected_present,victims_or_affected_present
92.0,796.320894003587,24487.146705510022,25283.46759951361
9.0,0.0,413.9094523670879,413.9094523670879
6.0,13.912060529176292,73.35450097202045,87.26656150119673
