EMERGENCY CODE (CÓDIGO DE EMERGENCIA-SINPAD),DATE OF THE EMERGENCY (FECHA  DE LA EMER),Year (AÑO),Month (MES),COD. DISTRITO,Department - Admin 1 (DPTO.),Province - Admin 2 (PROV.),District - Admin 3 (DIST.),Emergency (EMERGENCIA),Natural Region (REGIÓN NATURAL),Deaths (FALLECIDOS),Missing (DESAPARECIDOS),Injured (HERIDOS),VICTIMS (DAMNIFICADOS),AFFECTED (AFECTADOS),HOMES DESTROYED (VIVIENDAS DESTRUIDAS),AFFECTED HOMES (VIVIENDAS AFECTADAS),EDUCATIONAL CENTERS DESTROYED (CENTROS EDUCATIVOS DESTRUIDOS),AFFECTED EDUCATIONAL CENTERS (CENTROS EDUCATIVOS AFECTADOS),HEALTH CENTERS DESTROYED (CENTROS SALUD DESTRUIDOS),HEALTH CENTERS AFFECTED (CENTROS SALUD AFECTADOS),DESTROYED CROP (HAS CULTIVO DESTRUIDO),AFFECTED CROP (HAS CULTIVO AFECTADO),BRIDGE AFFECTED (PUENTE AFECTADO),BRIDGE COLLAPSED (PUENTE COLAPSADO),ROAD AFFECTED (CARRETERA AFECTADA),ROAD COLLAPSED (CARRETERA COLAPSADA),AFFECTED RURAL ROAD (CAMINO RURAL AFECTADO),COLLAPSED RURAL ROAD (CAMNINO RURAL COLAPSADO),AFFECTED WATER (AGUA AFECTADA),COLLAPSED WATER (AGUA COLAPSADA),AFFECTED DRAIN (DESAGÜE AFECTADO),COLLAPSED DRAIN (DESAGÜE COLAPSADO),AFFECTED IRRIGATION CANAL (CANAL DE REGADÍO AFECTADO),COLLAPSED IRRIGATION CANAL (CANAL DE REGADÍA COLAPSADO),PÉRDIDA VACUNO,PÉRDIDA CABALLAR,PÉRDIDA AUQUÉNIDO,PÉRDIDA CAPRINO*,PÉRDIDA PORCINO,AFECTADOS VACUNO,AFECTADOS CABALLAR,AFECTADOS CAMELIDO,AFECTADOS PORCINO,AFECTADOS CAPRINO*,PERDIDA DE ANIMALES MENORES*,ANIMALES MENORES AFECTADOS**,WEIGHT OF THE AID (PESO DE LA AYUDA),COST OF AID (COSTO DE LA AYUDA)
57470,28/02/2013,2013,Febrero,110109,ICA,ICA,SAN JOSÉ DE LOS MOLINOS,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57471,28/02/2013,2013,Febrero,110110,ICA,ICA,SAN JUAN BAUTISTA,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57472,28/02/2013,2013,Febrero,110111,ICA,ICA,SANTIAGO,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57474,28/02/2013,2013,Febrero,110111,ICA,ICA,SANTIAGO,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63995,28/03/2014,2014,Marzo,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81543,10/01/2017,2017,Enero,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,74,17700,0,3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82416,18/01/2017,2017,Enero,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,446.6925
81437,24/01/2017,2017,Enero,110102,ICA,ICA,LA TINGUIÑA,Flood (INUNDACIÓN),COSTA,0,0,0,636,4225,133,845,0,3,0,1,0,80,0,0,0,0,0.6,0,25,0,25,0,0.12,0,5,0,0,0,26,0,0,0,0,0,40,0,4802.77,55423.9627
81328,24/01/2017,2017,Enero,110105,ICA,ICA,PACHACUTEC,Flood (INUNDACIÓN),COSTA,0,0,0,75,2500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731.45,22616.6712
92353,06/03/2018,2018,Marzo,110111,ICA,ICA,SANTIAGO,Flood (INUNDACIÓN),COSTA,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1377.9304
